"STATION","STATION_NAME","LATITUDE","LONGITUDE"
"GHCND:US1WVJF0002","HARPERS FERRY 2.6 WNW WV US","39.3386","-77.7882"
"GHCND:US1WVRT0001","HARRISVILLE 0.5 W WV US","39.2104","-81.0596"
"GHCND:USC00463940","HARRISVILLE WV US","39.219","-81.0486"
"GHCND:USC00464200","HOGSETT R.C. BYRD DAM WV US","38.68306","-82.18611"
"GHCND:US1WVCB0008","HUNTINGTON 0.6 WSW WV US","38.4082","-82.4443"
"GHCND:US1WVCB0011","HUNTINGTON 1.0 S WV US","38.398","-82.434"
"GHCND:US1WVCB0002","HUNTINGTON 2.9 E WV US","38.406","-82.3813"
"GHCND:US1WVCB0006","HUNTINGTON 7.7 E WV US","38.4347","-82.2939"
"GHCND:USC00464397","HUNTINGTON SWG PLANT WV US","38.4014","-82.5266"
"GHCND:USW00003860","HUNTINGTON TRI STATE AIRPORT WV US","38.365","-82.555"
"GHCND:US1WVPT0004","HURRICANE 2.5 ENE WV US","38.451","-81.9745"
"GHCND:USC00464408","IAEGER 1 SW WV US","37.4502","-81.8236"
"GHCND:US1WVLW0002","JANE LEW 1.3 WSW WV US","39.1028","-80.4325"
"GHCND:US1WVML0003","KEYSER 2.0 SSW WV US","39.4142","-79.0028"
"GHCND:USC00464840","KEYSER 2 SSW WV US","39.42056","-79.005"
"GHCND:US1WVML0002","KEYSER 3.4 ESE WV US","39.4269","-78.9216"
"GHCND:USC00464971","KUMBRABOW WV US","38.6311","-80.0856"
"GHCND:USC00465002","LAKE LYNN WV US","39.72","-79.8561"
"GHCND:USC00465224","LEWISBURG 3 N WV US","37.8564","-80.4041"
"GHCND:US1WVLW0001","LINN 2.6 SE WV US","38.989","-80.6772"
"GHCND:USC00465353","LOGAN WV US","37.8716","-81.9947"
"GHCND:USC00465365","LONDON LOCKS WV US","38.1935","-81.3701"
"GHCND:USC00465453","LOST RIVER WV US","38.9452","-78.798"
"GHCND:USC00465563","MADISON 3 NNW WV US","38.1025","-81.84639"
"GHCND:USC00465626","MANNINGTON 8 WNW WV US","39.5436","-80.4647"
"GHCND:USC00465600","MAN WV US","37.7447","-81.8873"
"GHCND:US1WVPC0003","MARLINTON 4.5 NNE WV US","38.2842","-80.0588"
"GHCND:USC00465672","MARLINTON WV US","38.2175","-80.09139"
"GHCND:USC00465706","MARTINSBURG 2 WV US","39.4658","-77.9669"
"GHCND:US1WVBY0006","MARTINSBURG 4.3 E WV US","39.4486","-77.8905"
"GHCND:US1WVBY0004","MARTINSBURG 8.0 ENE WV US","39.5136","-77.8362"
"GHCND:USW00013734","MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT WV US","39.4019","-77.9844"
"GHCND:US1WVMH0002","MCMECHEN 6.0 E WV US","39.976","-80.621"
"GHCND:USC00465875","MCROSS 3 E WV US","37.9892","-80.68"
"GHCND:US1WVTY0003","MIDDLEBOURNE 3.2 ESE WV US","39.47","-80.8571"
"GHCND:USC00465963","MIDDLEBOURNE 3 ESE WV US","39.4666","-80.8411"
"GHCND:US1WVWD0005","MINERALWELLS 3.8 WSW WV US","39.1645","-81.5792"
"GHCND:US1WVMA0002","MONONGAH 0.9 ENE WV US","39.4661","-80.2024"
"GHCND:USC00466163","MOOREFIELD 1 SSE WV US","39.0461","-78.9664"
"GHCND:US1WVMG0005","MORGANTOWN 1.2 ESE WV US","39.6292","-79.9282"
"GHCND:US1WVMG0001","MORGANTOWN 3.5 SSE WV US","39.5924","-79.9166"
"GHCND:USW00013736","MORGANTOWN HART FIELD WV US","39.64278","-79.91639"
"GHCND:USC00466212","MORGANTOWN LOCK AND DAM WV US","39.6167","-79.9667"
"GHCND:USC00466248","MOUNDSVILLE WV US","39.9055","-80.7549"
"GHCND:USC00466284","MOUNT NEBO 1 S WV US","38.1879","-80.8484"
"GHCND:USC00466325","MULLENS 3 E WV US","37.58389","-81.38194"
"GHCND:US1WVWT0001","NEW MARTINSVILLE 6.5 E WV US","39.649","-80.7382"
"GHCND:USC00466591","OAK HILL WV US","37.97139","-81.15083"
"GHCND:USC00466600","OCEANA 2 SE WV US","37.6761","-81.6213"
"GHCND:US1WVWD0009","PARKERSBURG 1.0 W WV US","39.2667","-81.5617"
"GHCND:US1WVWD0003","PARKERSBURG 3.0 NE WV US","39.3001","-81.5108"
"GHCND:USW00003804","PARKERSBURG WOOD CO AIRPORT WV US","39.2","-81.27"
"GHCND:USW00013867","PARKERSBURG WV US","39.2811","-81.5572"
"GHCND:USC00466867","PARSONS 1 NE WV US","39.0736","-79.634"
"GHCND:USC00466912","PEA RIDGE PSD WV US","38.4197","-82.2986"
"GHCND:USC00466952","PETERSBURG WV US","38.9911","-79.1752"
"GHCND:US1WVBB0001","PHILIPPI 0.7 W WV US","39.1503","-80.0575"
"GHCND:USC00466982","PHILIPPI WV US","39.1461","-80.0411"
"GHCND:USC00466989","PICKENS 2 N WV US","38.66667","-80.2"
"GHCND:USC00467018","PIKE ISLAND LOCK AND DAM WV US","40.14778","-80.70139"
"GHCND:USC00467029","PINEVILLE WV US","37.5741","-81.5355"
"GHCND:US1WVMS0001","POINT PLEASANT 5.8 E WV US","38.8611","-82.0225"
"GHCND:USC00467207","PRINCETON WV US","37.3842","-81.0822"
"GHCND:US1WVCY0001","PROCIOUS 2.4 ESE WV US","38.4831","-81.1597"
"GHCND:USC00467287","RACINE LOCK AND DAM WV US","38.9186","-81.911"
"GHCND:US1WVGB0004","RAINELLE 0.3 ENE WV US","37.9705","-80.7667"
"GHCND:USC00467342","RANSON 4 NW WV US","39.3247","-77.9202"
"GHCND:USC00467372","R.D. BAILEY LAKE WV US","37.5947","-81.8208"
"GHCND:USC00467455","RENICK 3 WV US","37.9914","-80.3644"
"GHCND:USC00467513","RICHWOOD 1 SSE WV US","38.18333","-80.51667"
"GHCND:US1WVHY0002","RIG 0.4 NW WV US","39.0432","-79.0496"
"GHCND:US1WVJC0001","RIPLEY 1.6 WSW WV US","38.8083","-81.7345"
"GHCND:US1WVJC0003","RIPLEY 5.8 S WV US","38.7377","-81.6904"
"GHCND:USC00467552","RIPLEY WV US","38.8172","-81.7119"
"GHCND:USC00467649","ROCK CAVE 2 NE WV US","38.8561","-80.3074"
"GHCND:US1WVUP0001","ROCK CAVE 3.0 E WV US","38.8423","-80.2723"
"GHCND:US1WVWD0006","ROCKPORT 1.3 SSE WV US","39.0566","-81.5503"
"GHCND:USC00467730","ROMNEY 1 SW WV US","39.3389","-78.7728"
"GHCND:US1WVGB0002","RONCEVERTE 4.0 SE WV US","37.7059","-80.4232"
"GHCND:USC00467743","ROSEDALE 3 NNW WV US","38.77778","-80.96361"
"GHCND:US1WVPR0003","ROWLESBURG 1.1 NW WV US","39.3608","-79.6897"
"GHCND:USC00467785","ROWLESBURG 1 WV US","39.3419","-79.6697"
"GHCND:US1WVNC0003","RUNA 0.1 W WV US","38.1427","-80.8537"
"GHCND:USC00467852","SAINT ALBANS WV US","38.38306","-81.83417"
"GHCND:USC00467918","SANDYVILLE 9 NE WV US","38.9817","-81.5659"
"GHCND:US1WVBN0002","SETH SE 0.0 WV US","38.1079","-81.6228"
"GHCND:US1WVJF0003","SHENANDOAH JUNCTION WV US","39.3544","-77.8552"
"GHCND:USC00468191","SISSONVILLE 1 SW WV US","38.51667","-81.64528"
"GHCND:US1WVHM0002","SLANESVILLE 2.1 SE WV US","39.3482","-78.5016"
"GHCND:USC00468308","SNOWSHOE WV US","38.4122","-79.9972"
"GHCND:US1WVKN0010","SOUTH CHARLESTON 2.6 SSW WV US","38.3225","-81.7269"
"GHCND:US1WVKN0002","SOUTH CHARLESTON 4.7 SSW WV US","38.2982","-81.7506"
"GHCND:USC00468351","SOUTHSIDE 3 NNW WV US","38.75056","-81.98056"
"GHCND:USC00468384","SPENCER WV US","38.8008","-81.3619"
"GHCND:US1WVHM0001","SPRINGFIELD 2.3 ESE WV US","39.4432","-78.6521"
"GHCND:US1WVHM0004","SPRINGFIELD 3.5 SW WV US","39.4136","-78.7386"
"GHCND:US1WVKN0009","ST. ALBANS 0.5 ESE WV US","38.3759","-81.8093"
"GHCND:US1WVKN0019","ST. ALBANS 2.3 WSW WV US","38.361","-81.8525"
"GHCND:US1WVKN0018","ST. ALBANS 5.1 WSW WV US","38.3448","-81.9017"
"GHCND:USC00468522","STONEWALL JACKSON DAM WV US","39.0044","-80.4744"
"GHCND:USC00468589","SUGAR GROVE 4 NNE WV US","38.57","-79.2758"
"GHCND:US1WVNC0001","SUMMERSVILLE 7.8 SW WV US","38.2028","-80.943"
"GHCND:USC00468614","SUMMERSVILLE LAKE WV US","38.2201","-80.8939"
"GHCND:USC00468662","SUTTON LAKE WV US","38.65583","-80.69611"
"GHCND:USC00468777","TERRA ALTA NUMBER 1 WV US","39.44667","-79.54694"
"GHCND:USC00468893","TORNADO 2 NW WV US","38.36139","-81.84972"
"GHCND:US1WVGL0002","TROY 3.2 NNE WV US","39.0654","-80.7506"
"GHCND:USC00468986","TYGART DAM WV US","39.3136","-80.0297"
"GHCND:USC00469011","UNION 3 SSE WV US","37.5436","-80.5336"
"GHCND:USC00469086","VALLEY HEAD WV US","38.54528","-80.03694"
"GHCND:US1WVWD0011","VIENNA 1.3 NE WV US","39.3378","-81.5223"
"GHCND:USC00469275","WAR 1 NE WV US","37.3084","-81.6717"
"GHCND:USC00469281","WARDENSVILLE R M FARM WV US","39.11389","-78.58111"
"GHCND:USC00469323","WAYNE 2 WV US","38.226","-82.4431"
"GHCND:USC00469333","WEBSTER SPRINGS WV US","38.4738","-80.4086"
"GHCND:USC00469355","WELCH WV US","37.42028","-81.61611"
"GHCND:US1WVBK0001","WELLSBURG 1.2 SE WV US","40.268","-80.5966"
"GHCND:USC00469436","WESTON WV US","39.0405","-80.4713"
"GHCND:USC00469458","WEST UNION 2 WV US","39.2906","-80.7687"
"GHCND:US1WVDD0003","WEST UNION 5.9 NE WV US","39.3533","-80.6926"
"GHCND:US1WVDD0002","WEST UNION 8.2 NE WV US","39.391","-80.683"
"GHCND:US1WVOH0002","WHEELING 4.9 NNE WV US","40.1382","-80.6561"
"GHCND:USW00014894","WHEELING OHIO CO AIRPORT WV US","40.17639","-80.64722"
"GHCND:USC00469482","WHEELING WV US","40.05667","-80.72833"
"GHCND:USC00469522","WHITE SULPHUR SPRINGS WV US","37.7889","-80.3083"
"GHCND:USC00469527","WHITESVILLE WV US","37.9875","-81.54278"
"GHCND:USC00469610","WILLIAMSON WV US","37.66667","-82.28333"
"GHCND:USC00189570","WILLIAMSPORT MD US","39.60389","-77.83583"
"GHCND:US1WVWD0007","WILLIAMSTOWN 0.4 WNW WV US","39.4028","-81.4572"
"GHCND:US1WVPT0006","WINFIELD 0.7 W WV US","38.5249","-81.8965"
"GHCND:USC00469683","WINFIELD LOCKS WV US","38.5272","-81.9161"
"GHCND:USC00460355","ATHENS WV US","37.4225","-81.02556"
"GHCND:USC00460370","AUBURN WV US","unknown","unknown"
"GHCND:USC00460712","BERKELEY SPRINGS 3 S WV US","39.62111","-78.21861"
"GHCND:USC00460842","BIRCH RIVER 3 WSW WV US","38.49194","-80.80222"
"GHCND:USC00460843","BIRCH RIVER 4 SW WV US","38.45694","-80.79306"
"GHCND:USC00461330","CAIRO WV US","39.2","-81.15"
"GHCND:USC00461588","CHARLES TOWN 2 SE WV US","39.29806","-77.83444"
"GHCND:USC00462054","CRESTON WV US","38.96278","-81.27278"
"GHCND:USC00463675","GREGORY WV US","38.74333","-80.52778"
"GHCND:USC00465051","LESAGE 5 N WV US","38.56972","-82.28778"
"GHCND:USC00465739","MATHIAS WV US","38.87222","-78.86167"
"GHCND:USC00466871","PARSONS 2 N WV US","unknown","unknown"
"GHCND:USC00468051","SENECA STATE FOREST WV US","unknown","unknown"
"GHCND:USC00469336","WEBSTER SPRINGS 8 N WV US","unknown","unknown"
"GHCND:USC00469368","WELLSBURG WATER TREATMENT P WV US","40.27528","-80.61194"
"GHCND:USC00469613","WILLIAMSON 2 NE WV US","37.68778","-82.25611"
"GHCND:USC00461231","BUFFALO WV US","unknown","unknown"
"GHCND:USC00461393","CANAAN VALLEY WV US","39.05","-79.41667"
"GHCND:USC00461591","CHEAT BRIDGE WV US","unknown","unknown"
"GHCND:USC00461959","CORTON WV US","38.48333","-81.26667"
"GHCND:USC00463072","FLAT TOP WV US","37.58333","-81.1"
"GHCND:USC00463627","GRAFTON WV US","unknown","unknown"
"GHCND:USC00464128","HICO WV US","38.1","-81"
"GHCND:USC00464372","HUNDRED 1 N WV US","39.7","-80.45"
"GHCND:USC00464763","KEARNEYSVILLE WV US","39.38333","-77.88333"
"GHCND:USC00464956","KOPPERSTON WV US","37.73333","-81.58333"
"GHCND:USC00466900","PAYNESVILLE 1 N VA US","37.35","-81.88333"
"GHCND:USC00467001","PICKENS 4 SSE WV US","38.61667","-80.18333"
"GHCND:USC00337857","SOUTH POINT OH US","38.41667","-82.58333"
"GHCND:USC00468807","THOMAS WV US","39.15","-79.5"
"GHCND:USC00469049","UPPER TRACT WV US","38.78333","-79.28333"
